influencer_name,views,likes,comments,engagement_rate_%,speech_sentiment,product_name,product_category,product_rating,product_review_count,product_sentiment,has_product_overlay,is_sponsored,promotion,sentiment_difference,authenticity_score,authenticity_label
BlushbyBlessy,92195,1651,13,1.805,0.7422,"Dot & Key Meltie Lip Balm SPF 50+++ In-Vivo Tested With 2% Kojic & Vitamin C | Hydrates Dry, Chapped Lips, Lightens Pigmentation, Brightens Lips | With Shea & Mango Butters, Peptide Infused | Strawberry Glaze | 4g","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.4,76,0.8435,True,False,True,0.10130000000000006,94.93499999999999,Highly Authentic
Vlogsofsona,1677633,55867,277,3.347,0.366,"Little Birdie DIY Build a Mini Wooden Cottage Kit| for Home Decoration, Art & Craft, Creative, Fun & Activity DIY Learning Kit | Gift for Kids, Girls and Boys","Mobiles & Accessories
Laptops & Accessories
TV & Home Entertainment
Audio
Cameras
Computer Peripherals
Smart Technology",4.0,73,0.2283,True,False,True,0.1377,93.11500000000001,Highly Authentic
Miss Nithya,28304,663,23,2.424,0.5193,"Foxtale Oil-Balancing Gel Moisturizer with Niacinamide, Azelaic Acid Pearls & Cica, 8hr Shine-Free Hydration, Lightweight, Sebum Control, For Oily & Acne-Prone Skin, 50 ml | For Men & Women","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.3,87,0.6512,True,False,True,0.13190000000000002,93.405,Highly Authentic
Hey it’s suji,1298575,15544,51,1.201,0.1305,"Everyuth Natural Advanced Golden Glow Peel Off Mask for Instant Glow Skin, 100 gm","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.1,66,0.432,False,False,False,0.3015,84.92500000000001,Highly Authentic
Sethu,1326220,42012,246,3.186,0.9013,"Meyaar Vacuum Compression Travel Backpack for Airplane, 60L Expandable, Anti-Theft, 17.3 inch Laptop Backpack With Weatherproof and TSA Lock, Business Backpack For Men & Women (With Air Pump)","Mobiles & Accessories
Laptops & Accessories
TV & Home Entertainment
Audio
Cameras
Computer Peripherals
Smart Technology",3.8,16,0.3987,True,True,True,0.5025999999999999,74.87,Moderately Authentic
Agam by Smruthi,3060640,58631,324,1.926,0.0165,"NOFUZZ Turmeric Herbal Permanent Facial Hair Removal Pack | Painless Hair Removal | Lightens Thick Facial Hair | No Irritation, No Skin Rashes | 45g (Pack of 2)","Health & Personal Care
Bestsellers
Diet & Nutrition
Household Supplies
Health Care
Medical Equipment
Personal Care
Sports Supplements
Shaving & Hair Removal",3.7,14,0.5891,False,False,False,0.5726,71.37,Moderately Authentic
Fun with Siblings,790002,16271,73,2.069,0.9509,"ECOVACS DEEBOT N30 Plus White 2 in 1 Robot Vacuum & Mop, 2025 New Launch, Bagless Eco-Friendly Multi-Cyclone Auto Empty Station, 10000 Pa Suction, 5200mAh Battery, Covers 3500+sq ft, Zero Tangle 2.0","Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",4.5,101,0.7709,True,True,True,0.17999999999999994,91.0,Highly Authentic
Lav💕,597328,8333,44,1.402,0.9858,"Vilvah Store Milk Powder Face Wash | Gentle Exfoliation & Deep Cleansing | Enriched with Rice Milk, Rice Silk,Rice Powder | For Normal to Oily & Acne Prone Skin | Unscented | Men & Women | 50G","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.3,61,0.5311,True,True,True,0.4547,77.265,Moderately Authentic
Kirthika Banu Sekar ,17117,691,11,4.101,0.3814,"Asaya | Tone Restore | Advanced Pigmentation Cream with MelaMe™ Complex | Anti-Pigmentation Cream for Women & Men for Dark Neck, Knees & Elbows | 50 g","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.6,52,0.5648,False,False,False,0.18339999999999995,90.83,Highly Authentic
Charu Vlogs,603877,24519,1398,4.292,0.2001,Chemist At Play Tinted Cherry Lip Balm with SPF 50 PA++++ | Moisturising Lip Balm for Daily Use | Repairs Chapped & Dry Lips | Brightens Dark Lips | 1% Kojic Acid | For Men & Women | 4.5 g,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.2,81,0.5308,True,False,True,0.33070000000000005,83.465,Highly Authentic
Shadhik Azeez,14533793,366880,1123,2.532,0.7386,"Silver Dip Modicare Instant Silver Cleaner Sparkling Clean Silver Without Silver Loss,(Silver Dip Modicare Cleaner) (C23075)-300+300ML","Industrial and Scientific
Best Sellers
Lab & Scientific Products
Janitorial & Sanitation Supplies
Test, Measure & Inspect
Tapes, Adhesives & Sealants
Occupational Health & Safety Products",4.0,79,-0.0398,True,False,True,0.7784,61.08,Moderately Authentic
Sneholic,358099,8284,78,2.335,0.7843,Himalaya Brightening Vitamin C Serum I 5X Vitamin C & 10 X Niacinamide I Brighter Skin from Day 3 | 15 ml,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.1,72,0.5206,True,False,True,0.26370000000000005,86.815,Highly Authentic
